representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,age,age,1533
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,age,ethnicity,9
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,age,gender,14
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,age,not_cyberbullying,16
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,age,other_cyberbullying,17
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,age,religion,3
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,ethnicity,age,7
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,ethnicity,ethnicity,1500
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,ethnicity,gender,15
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,ethnicity,not_cyberbullying,23
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,ethnicity,other_cyberbullying,24
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,ethnicity,religion,15
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,gender,age,12
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,gender,ethnicity,13
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,gender,gender,1261
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,gender,not_cyberbullying,119
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,gender,other_cyberbullying,109
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,gender,religion,8
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,not_cyberbullying,age,72
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,not_cyberbullying,ethnicity,30
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,not_cyberbullying,gender,76
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,not_cyberbullying,not_cyberbullying,729
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,not_cyberbullying,other_cyberbullying,272
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,not_cyberbullying,religion,83
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,other_cyberbullying,age,36
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,other_cyberbullying,ethnicity,23
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,other_cyberbullying,gender,87
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,other_cyberbullying,not_cyberbullying,195
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,other_cyberbullying,other_cyberbullying,850
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,other_cyberbullying,religion,18
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,religion,age,0
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,religion,ethnicity,9
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,religion,gender,6
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,religion,not_cyberbullying,17
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,religion,other_cyberbullying,11
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,religion,religion,1553
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,age,age,1522
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,age,ethnicity,10
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,age,gender,6
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,age,not_cyberbullying,26
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,age,other_cyberbullying,20
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,age,religion,8
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,ethnicity,age,8
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,ethnicity,ethnicity,1502
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,ethnicity,gender,21
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,ethnicity,not_cyberbullying,14
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,ethnicity,other_cyberbullying,22
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,ethnicity,religion,17
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,gender,age,13
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,gender,ethnicity,12
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,gender,gender,1282
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,gender,not_cyberbullying,90
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,gender,other_cyberbullying,112
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,gender,religion,13
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,not_cyberbullying,age,60
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,not_cyberbullying,ethnicity,29
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,not_cyberbullying,gender,85
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,not_cyberbullying,not_cyberbullying,721
